run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
796.1674341804319,508.80516640149204,800.7980811460972,712.296687935493,788.1517977040183,807.0811899388539,939.3938288541207,864.1489946239943,863.2641289374606,928.6056048416502
839.6039107734715,416.9055490158988,881.6213319415752,772.3750804155741,841.6923518756078,877.1771153091672,931.0258601634948,906.3344517562623,893.4134871348714,891.2383294918956
867.881539069113,590.78060460398,892.179199890711,875.5590887961768,817.1458462688156,875.1714798196738,930.2115704187363,946.9984218099526,869.2181226866896,910.4239715063837
833.485290004357,621.2550735615137,889.6203487697877,937.5740167847741,848.9774923710294,933.5549402038984,946.9193524830557,938.7224442543028,898.8613926728943,881.2923084259107
896.9118252510324,699.4831009249924,887.3132822944445,899.8093808342499,828.6294138072193,943.4078741719038,952.1013959341235,951.7173571221164,921.9470617615434,927.3401052120835
899.673828729951,840.1709465013452,936.9732065521328,926.2602751752927,846.8081256726656,960.4092490940251,974.099275542158,925.3681849056111,854.9133394556253,907.8738900993793
900.2061540507227,878.5373102692896,938.5597573468775,936.6433132229977,896.3221735319897,959.6404047874053,965.9922032300612,931.1237028299362,899.126660914001,830.6341948349055
899.1616751589129,880.1636373725095,951.6043738133994,958.6962122054134,944.3450191297435,943.1305833644203,947.0452829342995,927.6099092428694,873.2990347480272,809.3088527626982
919.8559247549532,869.706346575012,918.2043286642363,919.0433245600132,944.2187236811709,879.8113970543578,880.6986788574505,850.1401834403049,907.2580851687109,945.6216039204634
917.1602471088335,882.8746373874274,945.9938654843047,946.0290035892989,948.1081161254306,733.394927522135,923.4143436714745,883.2181251111994,931.7636528261221,864.7681899596481
951.6822565274834,935.4685457634913,925.7685688669434,924.226568903293,930.7142908988166,798.7944915540131,926.3319690278097,796.2461789437654,945.5112399193929,874.6613357903145
942.830824008043,920.8566544094605,970.8385084630711,974.2089645269363,895.8866636281225,843.9667382294864,897.8524953689497,891.011115071974,941.6959577812556,915.2716590353484
888.0172941009596,954.6067926613699,973.6493971732245,905.0000149974825,859.2523108760035,903.7690358463788,903.2815021975675,909.3051911789146,967.0431912932108,972.6037142967825
875.6006226086726,918.7364585376818,944.972365135482,870.1352531220736,921.3488293332119,857.6359914800312,914.0486741692888,968.3928642454626,938.2970879554257,906.3166297684044
846.3242181495467,927.3626932281948,969.0202913070638,873.7591177169501,828.2993816805057,947.0960536489173,918.6230831311793,968.8950875939827,943.5652494522669,954.8705035598267
763.39647587021,944.3082519035111,939.2235685444984,908.1229505997745,890.5795427987798,924.9419394346577,941.5762449620759,975.0770092120822,919.241432018664,945.125821926132
860.3738932868355,941.702768849302,815.7351070225644,953.1421842776001,923.2784446250193,972.9140012178021,956.4751267438498,991.6846556933675,887.8167986926072,949.0753933110828
907.6556470466232,941.1860257586635,932.1344368219976,975.4969959913906,808.8546176431868,992.3937714339826,940.074200265635,985.3718298506742,923.7352826453138,949.1269137435676
